Year,Education,Gender,Area,Major,Graduates,Employed
2007,Total,Females,North Karelia,Education,66,48
2007,Total,Females,Central Finland,Education,128,72
2007,Total,Females,South Ostrobothnia,Education,56,45
2007,Total,Females,Ostrobothnia,Education,86,64
2007,Total,Females,Central Ostrobothnia,Education,25,17
2007,Total,Females,North Ostrobothnia,Education,193,130
2007,Total,Females,Kainuu,Education,42,33
2007,Total,Females,Lapland,Education,92,62
2007,Total,Females,Åland,Education,6,
2007,Total,Females,Unknown,Education,,
2007,31 General upper secondary education,Both sexes,Total,Education,,
2007,31 General upper secondary education,Both sexes,Uusimaa,Education,,
2007,31 General upper secondary education,Both sexes,Varsinais-Suomi,Education,,
2007,31 General upper secondary education,Both sexes,Satakunta,Education,,
2007,31 General upper secondary education,Both sexes,Kanta-Häme,Education,,
2007,31 General upper secondary education,Both sexes,Pirkanmaa,Education,,
2007,31 General upper secondary education,Both sexes,Päijät-Häme,Education,,
2007,31 General upper secondary education,Both sexes,Kymenlaakso,Education,,
2007,31 General upper secondary education,Both sexes,South Karelia,Education,,
2007,31 General upper secondary education,Both sexes,Etelä-Savo,Education,,
2007,31 General upper secondary education,Both sexes,Pohjois-Savo,Education,,
2007,31 General upper secondary education,Both sexes,North Karelia,Education,,
2007,31 General upper secondary education,Both sexes,Central Finland,Education,,
2007,31 General upper secondary education,Both sexes,South Ostrobothnia,Education,,
2007,31 General upper secondary education,Both sexes,Ostrobothnia,Education,,
2007,31 General upper secondary education,Both sexes,Central Ostrobothnia,Education,,
2007,31 General upper secondary education,Both sexes,North Ostrobothnia,Education,,
2007,31 General upper secondary education,Both sexes,Kainuu,Education,,
2007,31 General upper secondary education,Both sexes,Lapland,Education,,
2007,31 General upper secondary education,Both sexes,Åland,Education,,
2007,31 General upper secondary education,Both sexes,Unknown,Education,,
2007,31 General upper secondary education,Males,Total,Education,,
2007,31 General upper secondary education,Males,Uusimaa,Education,,
2007,31 General upper secondary education,Males,Varsinais-Suomi,Education,,
2007,31 General upper secondary education,Males,Satakunta,Education,,
2007,31 General upper secondary education,Males,Kanta-Häme,Education,,
2007,31 General upper secondary education,Males,Pirkanmaa,Education,,
2007,31 General upper secondary education,Males,Päijät-Häme,Education,,
2007,31 General upper secondary education,Males,Kymenlaakso,Education,,
2007,31 General upper secondary education,Males,South Karelia,Education,,
2007,31 General upper secondary education,Males,Etelä-Savo,Education,,
2007,31 General upper secondary education,Males,Pohjois-Savo,Education,,
2007,31 General upper secondary education,Males,North Karelia,Education,,
2007,31 General upper secondary education,Males,Central Finland,Education,,
2007,31 General upper secondary education,Males,South Ostrobothnia,Education,,
2007,31 General upper secondary education,Males,Ostrobothnia,Education,,
2007,31 General upper secondary education,Males,Central Ostrobothnia,Education,,
2007,31 General upper secondary education,Males,North Ostrobothnia,Education,,
2007,31 General upper secondary education,Males,Kainuu,Education,,
2007,31 General upper secondary education,Males,Lapland,Education,,
2007,31 General upper secondary education,Males,Åland,Education,,
2007,31 General upper secondary education,Males,Unknown,Education,,
2007,31 General upper secondary education,Females,Total,Education,,
2007,31 General upper secondary education,Females,Uusimaa,Education,,
2007,31 General upper secondary education,Females,Varsinais-Suomi,Education,,
2007,31 General upper secondary education,Females,Satakunta,Education,,
2007,31 General upper secondary education,Females,Kanta-Häme,Education,,
2007,31 General upper secondary education,Females,Pirkanmaa,Education,,
2007,31 General upper secondary education,Females,Päijät-Häme,Education,,
2007,31 General upper secondary education,Females,Kymenlaakso,Education,,
2007,31 General upper secondary education,Females,South Karelia,Education,,
2007,31 General upper secondary education,Females,Etelä-Savo,Education,,
2007,31 General upper secondary education,Females,Pohjois-Savo,Education,,
2007,31 General upper secondary education,Females,North Karelia,Education,,
2007,31 General upper secondary education,Females,Central Finland,Education,,
2007,31 General upper secondary education,Females,South Ostrobothnia,Education,,
2007,31 General upper secondary education,Females,Ostrobothnia,Education,,
2007,31 General upper secondary education,Females,Central Ostrobothnia,Education,,
2007,31 General upper secondary education,Females,North Ostrobothnia,Education,,
2007,31 General upper secondary education,Females,Kainuu,Education,,
2007,31 General upper secondary education,Females,Lapland,Education,,
2007,31 General upper secondary education,Females,Åland,Education,,
2007,31 General upper secondary education,Females,Unknown,Education,,
2007,32 Vocational upper secondary education and training,Both sexes,Total,Education,61,58
2007,32 Vocational upper secondary education and training,Both sexes,Uusimaa,Education,8,
2007,32 Vocational upper secondary education and training,Both sexes,Varsinais-Suomi,Education,7,
2007,32 Vocational upper secondary education and training,Both sexes,Satakunta,Education,,
2007,32 Vocational upper secondary education and training,Both sexes,Kanta-Häme,Education,6,
2007,32 Vocational upper secondary education and training,Both sexes,Pirkanmaa,Education,4,
2007,32 Vocational upper secondary education and training,Both sexes,Päijät-Häme,Education,4,
2007,32 Vocational upper secondary education and training,Both sexes,Kymenlaakso,Education,,
2007,32 Vocational upper secondary education and training,Both sexes,South Karelia,Education,3,
2007,32 Vocational upper secondary education and training,Both sexes,Etelä-Savo,Education,5,
2007,32 Vocational upper secondary education and training,Both sexes,Pohjois-Savo,Education,3,
2007,32 Vocational upper secondary education and training,Both sexes,North Karelia,Education,1,
2007,32 Vocational upper secondary education and training,Both sexes,Central Finland,Education,6,
2007,32 Vocational upper secondary education and training,Both sexes,South Ostrobothnia,Education,1,
2007,32 Vocational upper secondary education and training,Both sexes,Ostrobothnia,Education,,
2007,32 Vocational upper secondary education and training,Both sexes,Central Ostrobothnia,Education,1,
2007,32 Vocational upper secondary education and training,Both sexes,North Ostrobothnia,Education,7,
2007,32 Vocational upper secondary education and training,Both sexes,Kainuu,Education,1,
2007,32 Vocational upper secondary education and training,Both sexes,Lapland,Education,4,
2007,32 Vocational upper secondary education and training,Both sexes,Åland,Education,,
2007,32 Vocational upper secondary education and training,Both sexes,Unknown,Education,,
2007,32 Vocational upper secondary education and training,Males,Total,Education,54,51
2007,32 Vocational upper secondary education and training,Males,Uusimaa,Education,6,
2007,32 Vocational upper secondary education and training,Males,Varsinais-Suomi,Education,7,
2007,32 Vocational upper secondary education and training,Males,Satakunta,Education,,
2007,32 Vocational upper secondary education and training,Males,Kanta-Häme,Education,6,
2007,32 Vocational upper secondary education and training,Males,Pirkanmaa,Education,2,
2007,32 Vocational upper secondary education and training,Males,Päijät-Häme,Education,4,
2007,32 Vocational upper secondary education and training,Males,Kymenlaakso,Education,,
2007,32 Vocational upper secondary education and training,Males,South Karelia,Education,2,
2007,32 Vocational upper secondary education and training,Males,Etelä-Savo,Education,5,
2007,32 Vocational upper secondary education and training,Males,Pohjois-Savo,Education,3,
2007,32 Vocational upper secondary education and training,Males,North Karelia,Education,1,
2007,32 Vocational upper secondary education and training,Males,Central Finland,Education,5,
2007,32 Vocational upper secondary education and training,Males,South Ostrobothnia,Education,1,
2007,32 Vocational upper secondary education and training,Males,Ostrobothnia,Education,,
2007,32 Vocational upper secondary education and training,Males,Central Ostrobothnia,Education,1,
2007,32 Vocational upper secondary education and training,Males,North Ostrobothnia,Education,7,
2007,32 Vocational upper secondary education and training,Males,Kainuu,Education,1,
2007,32 Vocational upper secondary education and training,Males,Lapland,Education,3,
2007,32 Vocational upper secondary education and training,Males,Åland,Education,,
2007,32 Vocational upper secondary education and training,Males,Unknown,Education,,
2007,32 Vocational upper secondary education and training,Females,Total,Education,7,
2007,32 Vocational upper secondary education and training,Females,Uusimaa,Education,2,
2007,32 Vocational upper secondary education and training,Females,Varsinais-Suomi,Education,,
2007,32 Vocational upper secondary education and training,Females,Satakunta,Education,,
2007,32 Vocational upper secondary education and training,Females,Kanta-Häme,Education,,
2007,32 Vocational upper secondary education and training,Females,Pirkanmaa,Education,2,
2007,32 Vocational upper secondary education and training,Females,Päijät-Häme,Education,,
2007,32 Vocational upper secondary education and training,Females,Kymenlaakso,Education,,
2007,32 Vocational upper secondary education and training,Females,South Karelia,Education,1,
2007,32 Vocational upper secondary education and training,Females,Etelä-Savo,Education,,
2007,32 Vocational upper secondary education and training,Females,Pohjois-Savo,Education,,
2007,32 Vocational upper secondary education and training,Females,North Karelia,Education,,
2007,32 Vocational upper secondary education and training,Females,Central Finland,Education,1,
2007,32 Vocational upper secondary education and training,Females,South Ostrobothnia,Education,,
2007,32 Vocational upper secondary education and training,Females,Ostrobothnia,Education,,
2007,32 Vocational upper secondary education and training,Females,Central Ostrobothnia,Education,,
2007,32 Vocational upper secondary education and training,Females,North Ostrobothnia,Education,,
2007,32 Vocational upper secondary education and training,Females,Kainuu,Education,,
2007,32 Vocational upper secondary education and training,Females,Lapland,Education,1,
2007,32 Vocational upper secondary education and training,Females,Åland,Education,,
2007,32 Vocational upper secondary education and training,Females,Unknown,Education,,
2007,33 Further qualification,Both sexes,Total,Education,,
2007,33 Further qualification,Both sexes,Uusimaa,Education,,
2007,33 Further qualification,Both sexes,Varsinais-Suomi,Education,,
2007,33 Further qualification,Both sexes,Satakunta,Education,,
2007,33 Further qualification,Both sexes,Kanta-Häme,Education,,
2007,33 Further qualification,Both sexes,Pirkanmaa,Education,,
2007,33 Further qualification,Both sexes,Päijät-Häme,Education,,
2007,33 Further qualification,Both sexes,Kymenlaakso,Education,,
2007,33 Further qualification,Both sexes,South Karelia,Education,,
2007,33 Further qualification,Both sexes,Etelä-Savo,Education,,
2007,33 Further qualification,Both sexes,Pohjois-Savo,Education,,
2007,33 Further qualification,Both sexes,North Karelia,Education,,
2007,33 Further qualification,Both sexes,Central Finland,Education,,
2007,33 Further qualification,Both sexes,South Ostrobothnia,Education,,
2007,33 Further qualification,Both sexes,Ostrobothnia,Education,,
2007,33 Further qualification,Both sexes,Central Ostrobothnia,Education,,
2007,33 Further qualification,Both sexes,North Ostrobothnia,Education,,
2007,33 Further qualification,Both sexes,Kainuu,Education,,
2007,33 Further qualification,Both sexes,Lapland,Education,,
2007,33 Further qualification,Both sexes,Åland,Education,,
2007,33 Further qualification,Both sexes,Unknown,Education,,
2007,33 Further qualification,Males,Total,Education,,
2007,33 Further qualification,Males,Uusimaa,Education,,
2007,33 Further qualification,Males,Varsinais-Suomi,Education,,
2007,33 Further qualification,Males,Satakunta,Education,,
2007,33 Further qualification,Males,Kanta-Häme,Education,,
2007,33 Further qualification,Males,Pirkanmaa,Education,,
2007,33 Further qualification,Males,Päijät-Häme,Education,,
2007,33 Further qualification,Males,Kymenlaakso,Education,,
2007,33 Further qualification,Males,South Karelia,Education,,
2007,33 Further qualification,Males,Etelä-Savo,Education,,
2007,33 Further qualification,Males,Pohjois-Savo,Education,,
2007,33 Further qualification,Males,North Karelia,Education,,
2007,33 Further qualification,Males,Central Finland,Education,,
2007,33 Further qualification,Males,South Ostrobothnia,Education,,
2007,33 Further qualification,Males,Ostrobothnia,Education,,
2007,33 Further qualification,Males,Central Ostrobothnia,Education,,
2007,33 Further qualification,Males,North Ostrobothnia,Education,,
2007,33 Further qualification,Males,Kainuu,Education,,
2007,33 Further qualification,Males,Lapland,Education,,
2007,33 Further qualification,Males,Åland,Education,,
2007,33 Further qualification,Males,Unknown,Education,,
2007,33 Further qualification,Females,Total,Education,,
2007,33 Further qualification,Females,Uusimaa,Education,,
2007,33 Further qualification,Females,Varsinais-Suomi,Education,,
2007,33 Further qualification,Females,Satakunta,Education,,
2007,33 Further qualification,Females,Kanta-Häme,Education,,
2007,33 Further qualification,Females,Pirkanmaa,Education,,
2007,33 Further qualification,Females,Päijät-Häme,Education,,
2007,33 Further qualification,Females,Kymenlaakso,Education,,
2007,33 Further qualification,Females,South Karelia,Education,,
2007,33 Further qualification,Females,Etelä-Savo,Education,,
2007,33 Further qualification,Females,Pohjois-Savo,Education,,
2007,33 Further qualification,Females,North Karelia,Education,,
2007,33 Further qualification,Females,Central Finland,Education,,
2007,33 Further qualification,Females,South Ostrobothnia,Education,,
2007,33 Further qualification,Females,Ostrobothnia,Education,,
2007,33 Further qualification,Females,Central Ostrobothnia,Education,,
2007,33 Further qualification,Females,North Ostrobothnia,Education,,
2007,33 Further qualification,Females,Kainuu,Education,,
2007,33 Further qualification,Females,Lapland,Education,,
2007,33 Further qualification,Females,Åland,Education,,
2007,33 Further qualification,Females,Unknown,Education,,
2007,41 Specialist qualification,Both sexes,Total,Education,,
2007,41 Specialist qualification,Both sexes,Uusimaa,Education,,
2007,41 Specialist qualification,Both sexes,Varsinais-Suomi,Education,,
2007,41 Specialist qualification,Both sexes,Satakunta,Education,,
2007,41 Specialist qualification,Both sexes,Kanta-Häme,Education,,
2007,41 Specialist qualification,Both sexes,Pirkanmaa,Education,,
2007,41 Specialist qualification,Both sexes,Päijät-Häme,Education,,
2007,41 Specialist qualification,Both sexes,Kymenlaakso,Education,,
2007,41 Specialist qualification,Both sexes,South Karelia,Education,,
2007,41 Specialist qualification,Both sexes,Etelä-Savo,Education,,
2007,41 Specialist qualification,Both sexes,Pohjois-Savo,Education,,
2007,41 Specialist qualification,Both sexes,North Karelia,Education,,
2007,41 Specialist qualification,Both sexes,Central Finland,Education,,
2007,41 Specialist qualification,Both sexes,South Ostrobothnia,Education,,
2007,41 Specialist qualification,Both sexes,Ostrobothnia,Education,,
2007,41 Specialist qualification,Both sexes,Central Ostrobothnia,Education,,
2007,41 Specialist qualification,Both sexes,North Ostrobothnia,Education,,
2007,41 Specialist qualification,Both sexes,Kainuu,Education,,
2007,41 Specialist qualification,Both sexes,Lapland,Education,,
2007,41 Specialist qualification,Both sexes,Åland,Education,,
2007,41 Specialist qualification,Both sexes,Unknown,Education,,
2007,41 Specialist qualification,Males,Total,Education,,
2007,41 Specialist qualification,Males,Uusimaa,Education,,
2007,41 Specialist qualification,Males,Varsinais-Suomi,Education,,
2007,41 Specialist qualification,Males,Satakunta,Education,,
2007,41 Specialist qualification,Males,Kanta-Häme,Education,,
2007,41 Specialist qualification,Males,Pirkanmaa,Education,,
2007,41 Specialist qualification,Males,Päijät-Häme,Education,,
2007,41 Specialist qualification,Males,Kymenlaakso,Education,,
2007,41 Specialist qualification,Males,South Karelia,Education,,
2007,41 Specialist qualification,Males,Etelä-Savo,Education,,
2007,41 Specialist qualification,Males,Pohjois-Savo,Education,,
2007,41 Specialist qualification,Males,North Karelia,Education,,
2007,41 Specialist qualification,Males,Central Finland,Education,,
2007,41 Specialist qualification,Males,South Ostrobothnia,Education,,
2007,41 Specialist qualification,Males,Ostrobothnia,Education,,
2007,41 Specialist qualification,Males,Central Ostrobothnia,Education,,
2007,41 Specialist qualification,Males,North Ostrobothnia,Education,,
2007,41 Specialist qualification,Males,Kainuu,Education,,
2007,41 Specialist qualification,Males,Lapland,Education,,
2007,41 Specialist qualification,Males,Åland,Education,,
2007,41 Specialist qualification,Males,Unknown,Education,,
2007,41 Specialist qualification,Females,Total,Education,,
2007,41 Specialist qualification,Females,Uusimaa,Education,,
2007,41 Specialist qualification,Females,Varsinais-Suomi,Education,,
2007,41 Specialist qualification,Females,Satakunta,Education,,
2007,41 Specialist qualification,Females,Kanta-Häme,Education,,
2007,41 Specialist qualification,Females,Pirkanmaa,Education,,
2007,41 Specialist qualification,Females,Päijät-Häme,Education,,
2007,41 Specialist qualification,Females,Kymenlaakso,Education,,
2007,41 Specialist qualification,Females,South Karelia,Education,,
2007,41 Specialist qualification,Females,Etelä-Savo,Education,,
2007,41 Specialist qualification,Females,Pohjois-Savo,Education,,
2007,41 Specialist qualification,Females,North Karelia,Education,,
2007,41 Specialist qualification,Females,Central Finland,Education,,
2007,41 Specialist qualification,Females,South Ostrobothnia,Education,,
2007,41 Specialist qualification,Females,Ostrobothnia,Education,,
2007,41 Specialist qualification,Females,Central Ostrobothnia,Education,,
2007,41 Specialist qualification,Females,North Ostrobothnia,Education,,
2007,41 Specialist qualification,Females,Kainuu,Education,,
2007,41 Specialist qualification,Females,Lapland,Education,,
2007,41 Specialist qualification,Females,Åland,Education,,
2007,41 Specialist qualification,Females,Unknown,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Total,Education,1,
2007,51 Post-secondary non-higher vocational education,Both sexes,Uusimaa,Education,1,
2007,51 Post-secondary non-higher vocational education,Both sexes,Varsinais-Suomi,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Satakunta,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Kanta-Häme,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Pirkanmaa,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Päijät-Häme,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Kymenlaakso,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,South Karelia,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Etelä-Savo,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Pohjois-Savo,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,North Karelia,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Central Finland,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,South Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Central Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,North Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Kainuu,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Lapland,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Åland,Education,,
2007,51 Post-secondary non-higher vocational education,Both sexes,Unknown,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Total,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Uusimaa,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Varsinais-Suomi,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Satakunta,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Kanta-Häme,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Pirkanmaa,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Päijät-Häme,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Kymenlaakso,Education,,
2007,51 Post-secondary non-higher vocational education,Males,South Karelia,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Etelä-Savo,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Pohjois-Savo,Education,,
2007,51 Post-secondary non-higher vocational education,Males,North Karelia,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Central Finland,Education,,
2007,51 Post-secondary non-higher vocational education,Males,South Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Central Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Males,North Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Kainuu,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Lapland,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Åland,Education,,
2007,51 Post-secondary non-higher vocational education,Males,Unknown,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Total,Education,1,
2007,51 Post-secondary non-higher vocational education,Females,Uusimaa,Education,1,
2007,51 Post-secondary non-higher vocational education,Females,Varsinais-Suomi,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Satakunta,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Kanta-Häme,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Pirkanmaa,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Päijät-Häme,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Kymenlaakso,Education,,
2007,51 Post-secondary non-higher vocational education,Females,South Karelia,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Etelä-Savo,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Pohjois-Savo,Education,,
2007,51 Post-secondary non-higher vocational education,Females,North Karelia,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Central Finland,Education,,
2007,51 Post-secondary non-higher vocational education,Females,South Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Central Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Females,North Ostrobothnia,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Kainuu,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Lapland,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Åland,Education,,
2007,51 Post-secondary non-higher vocational education,Females,Unknown,Education,,
2007,62 Polytechnic bachelor's degree,Both sexes,Total,Education,261,156
2007,62 Polytechnic bachelor's degree,Both sexes,Uusimaa,Education,110,66
2007,62 Polytechnic bachelor's degree,Both sexes,Varsinais-Suomi,Education,25,19
2007,62 Polytechnic bachelor's degree,Both sexes,Satakunta,Education,2,
2007,62 Polytechnic bachelor's degree,Both sexes,Kanta-Häme,Education,3,
2007,62 Polytechnic bachelor's degree,Both sexes,Pirkanmaa,Education,16,9
2007,62 Polytechnic bachelor's degree,Both sexes,Päijät-Häme,Education,9,
2007,62 Polytechnic bachelor's degree,Both sexes,Kymenlaakso,Education,3,
2007,62 Polytechnic bachelor's degree,Both sexes,South Karelia,Education,1,
2007,62 Polytechnic bachelor's degree,Both sexes,Etelä-Savo,Education,4,
2007,62 Polytechnic bachelor's degree,Both sexes,Pohjois-Savo,Education,19,7
2007,62 Polytechnic bachelor's degree,Both sexes,North Karelia,Education,5,
2007,62 Polytechnic bachelor's degree,Both sexes,Central Finland,Education,12,3
2007,62 Polytechnic bachelor's degree,Both sexes,South Ostrobothnia,Education,5,
2007,62 Polytechnic bachelor's degree,Both sexes,Ostrobothnia,Education,13,9
2007,62 Polytechnic bachelor's degree,Both sexes,Central Ostrobothnia,Education,6,
2007,62 Polytechnic bachelor's degree,Both sexes,North Ostrobothnia,Education,22,13
2007,62 Polytechnic bachelor's degree,Both sexes,Kainuu,Education,1,
2007,62 Polytechnic bachelor's degree,Both sexes,Lapland,Education,5,
2007,62 Polytechnic bachelor's degree,Both sexes,Åland,Education,,
2007,62 Polytechnic bachelor's degree,Both sexes,Unknown,Education,,
2007,62 Polytechnic bachelor's degree,Males,Total,Education,68,52
2007,62 Polytechnic bachelor's degree,Males,Uusimaa,Education,33,28
2007,62 Polytechnic bachelor's degree,Males,Varsinais-Suomi,Education,7,
2007,62 Polytechnic bachelor's degree,Males,Satakunta,Education,,
2007,62 Polytechnic bachelor's degree,Males,Kanta-Häme,Education,1,
2007,62 Polytechnic bachelor's degree,Males,Pirkanmaa,Education,4,
2007,62 Polytechnic bachelor's degree,Males,Päijät-Häme,Education,,
2007,62 Polytechnic bachelor's degree,Males,Kymenlaakso,Education,1,
2007,62 Polytechnic bachelor's degree,Males,South Karelia,Education,,
2007,62 Polytechnic bachelor's degree,Males,Etelä-Savo,Education,1,
2007,62 Polytechnic bachelor's degree,Males,Pohjois-Savo,Education,3,
2007,62 Polytechnic bachelor's degree,Males,North Karelia,Education,1,
2007,62 Polytechnic bachelor's degree,Males,Central Finland,Education,1,
2007,62 Polytechnic bachelor's degree,Males,South Ostrobothnia,Education,2,
2007,62 Polytechnic bachelor's degree,Males,Ostrobothnia,Education,5,
2007,62 Polytechnic bachelor's degree,Males,Central Ostrobothnia,Education,2,
2007,62 Polytechnic bachelor's degree,Males,North Ostrobothnia,Education,5,
2007,62 Polytechnic bachelor's degree,Males,Kainuu,Education,,
2007,62 Polytechnic bachelor's degree,Males,Lapland,Education,2,
2007,62 Polytechnic bachelor's degree,Males,Åland,Education,,
2007,62 Polytechnic bachelor's degree,Males,Unknown,Education,,
2007,62 Polytechnic bachelor's degree,Females,Total,Education,193,104
2007,62 Polytechnic bachelor's degree,Females,Uusimaa,Education,77,38
2007,62 Polytechnic bachelor's degree,Females,Varsinais-Suomi,Education,18,14
2007,62 Polytechnic bachelor's degree,Females,Satakunta,Education,2,
2007,62 Polytechnic bachelor's degree,Females,Kanta-Häme,Education,2,
2007,62 Polytechnic bachelor's degree,Females,Pirkanmaa,Education,12,6
2007,62 Polytechnic bachelor's degree,Females,Päijät-Häme,Education,9,
2007,62 Polytechnic bachelor's degree,Females,Kymenlaakso,Education,2,
2007,62 Polytechnic bachelor's degree,Females,South Karelia,Education,1,
2007,62 Polytechnic bachelor's degree,Females,Etelä-Savo,Education,3,
2007,62 Polytechnic bachelor's degree,Females,Pohjois-Savo,Education,16,5
2007,62 Polytechnic bachelor's degree,Females,North Karelia,Education,4,
2007,62 Polytechnic bachelor's degree,Females,Central Finland,Education,11,3
2007,62 Polytechnic bachelor's degree,Females,South Ostrobothnia,Education,3,
2007,62 Polytechnic bachelor's degree,Females,Ostrobothnia,Education,8,
2007,62 Polytechnic bachelor's degree,Females,Central Ostrobothnia,Education,4,
2007,62 Polytechnic bachelor's degree,Females,North Ostrobothnia,Education,17,9
2007,62 Polytechnic bachelor's degree,Females,Kainuu,Education,1,
2007,62 Polytechnic bachelor's degree,Females,Lapland,Education,3,
2007,62 Polytechnic bachelor's degree,Females,Åland,Education,,
2007,62 Polytechnic bachelor's degree,Females,Unknown,Education,,
2007,63 University bachelor degree,Both sexes,Total,Education,542,315
2007,63 University bachelor degree,Both sexes,Uusimaa,Education,166,110
